"level","table","title","description","updated","dimensions"
"px-x-4003000000_101","px-x-4003000000_101.px","Wohnbevölkerung am wirtschaftlichem Wohnsitz nach institutionellen Gliederungen, Geschlecht und Alter, 2000","Wohnbevölkerung am wirtschaftlichem Wohnsitz 2000 nach Geschlecht, Kanton (-) / Bezirk (>>) / Gemeinde (......) und Alter","2020-12-10T10:24:28","Geschlecht,Kanton (-) / Bezirk (>>) / Gemeinde (......),Alter"
"px-x-4003000000_121","px-x-4003000000_121.px","Wohnbevölkerung nach Wohnsitztyp, institutionellen Gliederungen, Geschlecht, Zivilstand und Staatsangehörigkeit (Kategorie), 2000","Wohnbevölkerung 2000 nach Wohnsitztyp, Kanton (-) / Bezirk (>>) / Gemeinde (......), Staatsangehörigkeit (Kategorie), Geschlecht und Zivilstand","2020-12-10T10:24:32","Wohnsitztyp,Kanton (-) / Bezirk (>>) / Gemeinde (......),Staatsangehörigkeit (Kategorie),Geschlecht,Zivilstand"
"px-x-4003000000_122","px-x-4003000000_122.px","Wohnbevölkerung nach Wohnsitztyp, institutionellen Gliederungen und Religion, 2000","Wohnbevölkerung 2000 nach Wohnsitztyp, Kanton (-) / Bezirk (>>) / Gemeinde (......) und Religion","2020-12-10T10:24:34","Wohnsitztyp,Kanton (-) / Bezirk (>>) / Gemeinde (......),Religion"
"px-x-4003000000_123","px-x-4003000000_123.px","Wohnbevölkerung nach Wohnsitztyp, institutionellen Gliederungen, Hauptsprache und Staatsangehörigkeit (Kategorie), 2000","Wohnbevölkerung 2000 nach Wohnsitztyp, Kanton (-) / Bezirk (>>) / Gemeinde (......), Staatsangehörigkeit (Kategorie) und Hauptsprache","2020-12-10T10:24:38","Wohnsitztyp,Kanton (-) / Bezirk (>>) / Gemeinde (......),Staatsangehörigkeit (Kategorie),Hauptsprache"
"px-x-4003000000_141","px-x-4003000000_141.px","Wohnbevölkerung am wirtschaftlichen Wohnsitz nach institutionellen Gliederungen, Geschlecht, sozio-professioneller Kategorie und Staatsangehörigkeit (Kategorie), 2000","Wohnbevölkerung am wirtschaftlichen Wohnsitz 2000 nach Staatsangehörigkeit (Kategorie), Kanton (-) / Bezirk (>>) / Gemeinde (......), Geschlecht und Sozio-professionelle Kategorie","2020-12-10T10:24:42","Staatsangehörigkeit (Kategorie),Kanton (-) / Bezirk (>>) / Gemeinde (......),Geschlecht,Sozio-professionelle Kategorie"
"px-x-4003000000_142","px-x-4003000000_142.px","Wohnbevölkerung am wirtschaftlichen Wohnsitz nach institutionellen Gliederungen, Wirtschaftszweig der Unternehmung, Geschlecht und Staatsangehörigkeit (Kategorie), 2000","Wohnbevölkerung am wirtschaftlichen Wohnsitz 2000 nach Staatsangehörigkeit (Kategorie), Kanton (-) / Bezirk (>>) / Gemeinde (......), Geschlecht und Wirtschaftszweig der Unternehmung","2020-12-10T10:24:46","Staatsangehörigkeit (Kategorie),Kanton (-) / Bezirk (>>) / Gemeinde (......),Geschlecht,Wirtschaftszweig der Unternehmung"
"px-x-4003000000_143","px-x-4003000000_143.px","Wohnbevölkerung am wirtschaftlichen Wohnsitz nach Wirtschaftszweig der Unternehmung, Geschlecht und Staatsangehörigkeit (Kategorie), 2000","Wohnbevölkerung am wirtschaftlichen Wohnsitz 2000 nach Wirtschaftszweig der Unternehmung, Staatsangehörigkeit (Kategorie) und Geschlecht","2020-12-10T10:24:48","Wirtschaftszweig der Unternehmung,Staatsangehörigkeit (Kategorie),Geschlecht"
"px-x-4003000000_161","px-x-4003000000_161.px","Wohnbevölkerung am wirtschaftlichen Wohnsitz nach institutionellen Gliederungen, Geschlecht, höchster abgeschlossener Ausbildung und Staatsangehörigkeit (Kategorie), 2000","Wohnbevölkerung am wirtschaftlichen Wohnsitz 2000 nach Höchste abgeschlossene Ausbildung, Kanton (-) / Bezirk (>>) / Gemeinde (......), Staatsangehörigkeit (Kategorie) und Geschlecht","2020-12-10T10:24:52","Höchste abgeschlossene Ausbildung,Kanton (-) / Bezirk (>>) / Gemeinde (......),Staatsangehörigkeit (Kategorie),Geschlecht"
"px-x-4003000000_162","px-x-4003000000_162.px","Wohnbevölkerung am wirtschaftlichen Wohnsitz nach institutionellen Gliederungen, Geschlecht, beruflicher Tätigkeit und Staatsangehörigkeit (Kategorie), 2000","Wohnbevölkerung am wirtschaftlichen Wohnsitz 2000 nach Berufliche Tätigkeit, Kanton (-) / Bezirk (>>) / Gemeinde (......), Staatsangehörigkeit (Kategorie) und Geschlecht","2020-12-10T10:24:56","Berufliche Tätigkeit,Kanton (-) / Bezirk (>>) / Gemeinde (......),Staatsangehörigkeit (Kategorie),Geschlecht"
"px-x-4003000000_163","px-x-4003000000_163.px","Wohnbevölkerung am wirtschaftlichen Wohnsitz nach Geschlecht, beruflicher Tätigkeit und Staatsangehörigkeit (Kategorie), 2000","Wohnbevölkerung am wirtschaftlichen Wohnsitz 2000 nach Berufliche Tätigkeit, Staatsangehörigkeit (Kategorie) und Geschlecht","2020-12-10T10:24:58","Berufliche Tätigkeit,Staatsangehörigkeit (Kategorie),Geschlecht"
"px-x-4003000000_181","px-x-4003000000_181.px","Wohnbevölkerung nach Wohnsitztyp, institutionellen Gliederungen, Geschlecht, Geburtsort und Staatsangehörigkeit (Kategorie), 2000","Wohnbevölkerung 2000 nach Wohnsitztyp, Kanton (-) / Bezirk (>>) / Gemeinde (......), Staatsangehörigkeit (Kategorie), Geschlecht und Geburtsort","2020-12-10T10:25:02","Wohnsitztyp,Kanton (-) / Bezirk (>>) / Gemeinde (......),Staatsangehörigkeit (Kategorie),Geschlecht,Geburtsort"
"px-x-4003000000_182","px-x-4003000000_182.px","Wohnbevölkerung nach Wohnsitztyp, institutionellen Gliederungen, Geschlecht, Wohnort vor 5 Jahren und Staatsangehörigkeit (Kategorie), 2000","Wohnbevölkerung 2000 nach Kanton (-) / Bezirk (>>) / Gemeinde (......), Staatsangehörigkeit (Kategorie), Geschlecht, Wohnort vor 5 Jahren und Wohnsitztyp","2020-12-10T10:25:04","Kanton (-) / Bezirk (>>) / Gemeinde (......),Staatsangehörigkeit (Kategorie),Geschlecht,Wohnort vor 5 Jahren,Wohnsitztyp"
"px-x-4004000000_101","px-x-4004000000_101.px","Bevölkerungsentwicklung nach institutionellen Gliederungen, 1850-2000","Bevölkerungsentwicklung nach institutionellen Gliederungen, 1850-2000","2020-12-10T10:25:08","Kanton (-) / Bezirk (>>) / Gemeinde (......),Jahr"
"px-x-0702000000_220","px-x-0702000000_220.px","Landwirtschaftsbetriebe: Bodenbedeckung im Winter und Bodenbearbeitung nach Region","Landwirtschaftsbetriebe: Bodenbedeckung im Winter und Bodenbearbeitung nach Region","2022-01-10T15:01:38","Jahr,Region,Bodenbedeckung im Winter und Bodenbearbeitung,Einheit"
"px-x-0702000000_219","px-x-0702000000_219.px","Landwirtschaftsbetriebe: Bodenbedeckung im Winter und Bodenbearbeitung nach Kanton","Landwirtschaftsbetriebe: Bodenbedeckung im Winter und Bodenbearbeitung nach Kanton","2022-01-10T15:01:40","Jahr,Kanton,Bodenbedeckung im Winter und Bodenbearbeitung,Einheit"
"px-x-0702000000_221","px-x-0702000000_221.px","Landwirtschaftsbetriebe: Bodenbedeckung im Winter und Bodenbearbeitung nach Grössenklasse LN","Landwirtschaftsbetriebe: Bodenbedeckung im Winter und Bodenbearbeitung nach Grössenklasse LN","2022-01-10T15:01:40","Jahr,Grössenklasse LN,Bodenbedeckung im Winter und Bodenbearbeitung,Einheit"
"px-x-0702000000_230","px-x-0702000000_230.px","Landwirtschaftsbetriebe: Motorisierte Fahrzeuge, nicht motorisierte Maschinen und Hofeinrichtungen nach Grössenklasse LN","Landwirtschaftsbetriebe: Motorisierte Fahrzeuge, nicht motorisierte Maschinen und Hofeinrichtungen nach Grössenklasse LN","2022-01-10T15:01:40","Jahr,Grössenklasse LN,Motorisierte Fahrzeuge, nicht motorisierte Maschinen und Hofeinrichtungen,Einheit"
"px-x-0702000000_229","px-x-0702000000_229.px","Landwirtschaftsbetriebe: Motorisierte Fahrzeuge, nicht motorisierte Maschinen und Hofeinrichtungen nach Region","Landwirtschaftsbetriebe: Motorisierte Fahrzeuge, nicht motorisierte Maschinen und Hofeinrichtungen nach Region","2022-01-10T15:01:40","Jahr,Region,Motorisierte Fahrzeuge, nicht motorisierte Maschinen und Hofeinrichtungen,Einheit"
"px-x-0702000000_228","px-x-0702000000_228.px","Landwirtschaftsbetriebe: Motorisierte Fahrzeuge, nicht motorisierte Maschinen und Hofeinrichtungen nach Kanton","Landwirtschaftsbetriebe: Motorisierte Fahrzeuge, nicht motorisierte Maschinen und Hofeinrichtungen nach Kanton","2022-01-10T15:01:40","Jahr,Kanton,Motorisierte Fahrzeuge, nicht motorisierte Maschinen und Hofeinrichtungen,Einheit"
"px-x-0702000000_203","px-x-0702000000_203.px","Auf den Landwirtschaftsbetrieben lebende Familienmitglieder nach Typ der Beteiligung und sozialer Absicherung, 2013","Auf den Landwirtschaftsbetrieben lebende Familienmitglieder nach Familienmitglieder, Leitung, Betriebseigentum, Erwerbstätigkeit und soziale Absicherung, Geschlecht und Einheit","2022-01-11T10:23:42","Familienmitglieder,Leitung, Betriebseigentum, Erwerbstätigkeit und soziale Absicherung,Geschlecht,Einheit"
"px-x-0202020000_101","px-x-0202020000_101.px","Arealstatistik: Standardnomenklatur (NOAS04) nach Grossregion und Kanton, in Hektaren","Arealstatistik: Standardnomenklatur (NOAS04) nach Grossregion und Kanton, in Hektaren","2022-01-14T16:34:04","Grossregion (<<) / Kanton (-),Standardnomenklatur (NOAS04),Periode"
"px-x-0202020000_201","px-x-0202020000_201.px","Arealstatistik: Bodenbedeckung (NOLC04) nach Grossregion und Kanton, in Hektaren","Arealstatistik: Bodenbedeckung (NOLC04) nach Grossregion und Kanton, in Hektaren","2022-01-14T16:34:06","Grossregion (<<) / Kanton (-),Bodenbedeckung (NOLC04),Periode"
"px-x-0202020000_202","px-x-0202020000_202.px","Arealstatistik: Bodenbedeckung (NOLC04) nach Bezirk und Gemeinde, in Hektaren","Arealstatistik: Bodenbedeckung (NOLC04) nach Bezirk und Gemeinde, in Hektaren","2022-01-14T16:34:06","Bezirk (>>) / Gemeinde (......),Bodenbedeckung (NOLC04),Periode"
"px-x-0202020000_102","px-x-0202020000_102.px","Arealstatistik: Standardnomenklatur (NOAS04) nach Bezirk und Gemeinde, in Hektaren","Arealstatistik: Standardnomenklatur (NOAS04) nach Bezirk und Gemeinde, in Hektaren","2022-01-14T16:34:04","Bezirk (>>) / Gemeinde (......),Standardnomenklatur (NOAS04),Periode"
"px-x-2105000000_209","px-x-2105000000_209.px","Lebensqualität in den Städten und Agglomerationen (Agglo 2012): Wirtschaftlicher Kontext","Lebensqualität in den Städten und Agglomerationen (Agglo 2012): Wirtschaftlicher Kontext","2022-01-25T08:30:12","Stadt / Agglomeration,Wirtschaftsindikator,Absolut / relativ,Jahr"
"px-x-2105000000_205","px-x-2105000000_205.px","Lebensqualität in den Städten und Agglomerationen (Agglo 2012): Kultur und Freizeit","Lebensqualität in den Städten und Agglomerationen (Agglo 2012): Kultur und Freizeit","2022-01-25T08:30:14","Stadt / Agglomeration,Kultur- und Freizeitindikator,Jahr"
"px-x-2105000000_210","px-x-2105000000_210.px","Lebensqualität in den Städten und Agglomerationen (Agglo 2012): Wohnsituation","Lebensqualität in den Städten und Agglomerationen (Agglo 2012): Wohnsituation","2022-01-25T08:30:18","Stadt / Agglomeration,Indikator zur Wohnsituation,Absolut / relativ,Resultat,Jahr"
"px-x-2105000000_106","px-x-2105000000_106.px","Lebensqualität in den Städten und Agglomerationen (Agglo 2000): Mobilität","Lebensqualität in den Städten und Agglomerationen (Agglo 2000): Mobilität","2022-01-26T17:16:42","Stadt / Agglomeration,Mobilitätsindikator,Resultat,Jahr"
"px-x-2105000000_105","px-x-2105000000_105.px","Lebensqualität in den Städten und Agglomerationen (Agglo 2000): Kultur und Freizeit","Lebensqualität in den Städten und Agglomerationen (Agglo 2000): Kultur und Freizeit","2022-01-26T17:16:42","Stadt / Agglomeration,Kultur- und Freizeitindikator,Jahr"
"px-x-2105000000_102","px-x-2105000000_102.px","Lebensqualität in den Städten und Agglomerationen (Agglo 2000): Demographischer Kontext","Lebensqualität in den Städten und Agglomerationen (Agglo 2000): Demographischer Kontext","2022-01-26T17:16:42","Stadt / Agglomeration,Demografischer Indikator,Jahr"
"px-x-2105000000_101","px-x-2105000000_101.px","Lebensqualität in den Städten und Agglomerationen (Agglo 2000): Bildung","Lebensqualität in den Städten und Agglomerationen (Agglo 2000): Bildung","2022-01-26T17:16:42","Stadt / Agglomeration,Bildungsindikator,Resultat,Jahr"
"px-x-2105000000_110","px-x-2105000000_110.px","Lebensqualität in den Städten und Agglomerationen (Agglo 2000): Wohnsituation","Lebensqualität in den Städten und Agglomerationen (Agglo 2000): Wohnsituation","2022-01-26T17:16:42","Stadt / Agglomeration,Absolut / relativ,Indikator zur Wohnsituation,Resultat,Jahr"
"px-x-2105000000_103","px-x-2105000000_103.px","Lebensqualität in den Städten und Agglomerationen (Agglo 2000): Einkommen und Arbeit","Lebensqualität in den Städten und Agglomerationen (Agglo 2000): Einkommen und Arbeit","2022-01-26T17:16:42","Stadt / Agglomeration,Geschlecht,Indikator zu Einkommen und Arbeit,Resultat,Jahr"
"px-x-2105000000_108","px-x-2105000000_108.px","Lebensqualität in den Städten und Agglomerationen (Agglo 2000): Qualität der Umwelt","Lebensqualität in den Städten und Agglomerationen (Agglo 2000): Qualität der Umwelt","2022-01-26T17:16:42","Stadt / Agglomeration,Indikator zur Qualität der Umwelt,Jahr"
"px-x-2105000000_107","px-x-2105000000_107.px","Lebensqualität in den Städten und Agglomerationen (Agglo 2000): Persönliche Sicherheit","Lebensqualität in den Städten und Agglomerationen (Agglo 2000): Persönliche Sicherheit","2022-01-26T17:16:42","Stadt / Agglomeration,Indikator zur persönlichen Sicherheit,Jahr"
"px-x-2105000000_104","px-x-2105000000_104.px","Lebensqualität in den Städten und Agglomerationen (Agglo 2000): Gesundheit","Lebensqualität in den Städten und Agglomerationen (Agglo 2000): Gesundheit","2022-01-26T17:16:42","Stadt / Agglomeration,Geschlecht,Gesundheitsindikator,Jahr"
"px-x-2105000000_109","px-x-2105000000_109.px","Lebensqualität in den Städten und Agglomerationen (Agglo 2000): Wirtschaftlicher Kontext","Lebensqualität in den Städten und Agglomerationen (Agglo 2000): Wirtschaftlicher Kontext","2022-01-26T17:16:42","Stadt / Agglomeration,Absolut / relativ,Wirtschaftsindikator,Jahr"
"px-x-1602010000_101","px-x-1602010000_101.px","Kinoinfrastruktur nach Gemeinde und Kinotyp","Kinoinfrastruktur nach Gemeinde und Kinotyp","2022-03-15T09:21:52","Jahr,Kanton (-) / Gemeinde (......),Kinotyp,Infrastruktur"
"px-x-1502040100_123","px-x-1502040100_123.px","Eintritte auf Stufen Lizenziat/Diplom und Bachelor der universitären Hochschulen nach Jahr, Fachrichtung, Geschlecht und Hochschule","Eintritte auf Stufen Lizenziat/Diplom und Bachelor der universitären Hochschulen nach Jahr, Fachrichtung, Geschlecht und Hochschule","2022-03-25T08:30:06","Jahr,Fachrichtung,Geschlecht,Hochschule"
"px-x-1502040300_193","px-x-1502040300_193.px","Studierende an den pädagogischen Hochschulen (ohne FH) nach Jahr, Fachrichtung, Geschlecht und Studienstufe","Studierende an den pädagogischen Hochschulen (ohne FH) nach Jahr, Fachrichtung, Geschlecht und Studienstufe","2022-03-25T08:30:06","Jahr,Fachrichtung,Geschlecht,Studienstufe"
"px-x-1502040300_202","px-x-1502040300_202.px","Eintritte der pädagogischen Hochschulen (ohne FH) nach Jahr, Fachrichtung, Studienstufe, Staatsangehörigkeit (Kategorie) und Hochschule","Eintritte der pädagogischen Hochschulen (ohne FH) nach Jahr, Fachrichtung, Studienstufe, Staatsangehörigkeit (Kategorie) und Hochschule","2022-03-25T08:30:08","Jahr,Fachrichtung,Studienstufe,Staatsangehörigkeit (Kategorie),Hochschule"
"px-x-1502040200_182","px-x-1502040200_182.px","Eintritte auf Stufen Diplom und Bachelor der Fachhochschulen (ohne PH) nach Jahr, Fachbereich, Staatsangehörigkeit (Kategorie) und Hochschule","Eintritte auf Stufen Diplom und Bachelor der Fachhochschulen (ohne PH) nach Jahr, Fachbereich, Staatsangehörigkeit (Kategorie) und Hochschule","2022-03-25T08:30:10","Jahr,Fachbereich,Staatsangehörigkeit (Kategorie),Hochschule"
"px-x-1502040400_134","px-x-1502040400_134.px","Studierende an den Fachhochschulen und pädagogischen Hochschulen nach Jahr, Fachrichtung, Staatsangehörigkeit (Kategorie) und Hochschule, nur Studierende auf Stufen Diplom, Bachelor und Master (ohne Weiterbildung)","Studierende an den Fachhochschulen und pädagogischen Hochschulen nach Jahr, Fachrichtung, Staatsangehörigkeit (Kategorie) und Hochschule","2022-03-25T08:30:10","Jahr,Fachrichtung,Staatsangehörigkeit (Kategorie),Hochschule"
"px-x-1502040100_121","px-x-1502040100_121.px","Eintritte auf Stufen Lizenziat/Diplom und Bachelor der universitären Hochschulen nach Jahr, Fachbereich, Geschlecht und Hochschule","Eintritte auf Stufen Lizenziat/Diplom und Bachelor der universitären Hochschulen nach Jahr, Fachbereich, Geschlecht und Hochschule","2022-03-25T08:30:10","Jahr,Fachbereich,Geschlecht,Hochschule"
"px-x-1502040300_195","px-x-1502040300_195.px","Studierende an den pädagogischen Hochschulen (ohne FH) nach Jahr, Fachrichtung und Altersklasse","Studierende an den pädagogischen Hochschulen (ohne FH) nach Jahr, Fachrichtung und Altersklasse","2022-03-25T08:30:16","Jahr,Fachrichtung,Altersklasse"
"px-x-1502040400_151","px-x-1502040400_151.px","Eintritte auf Stufen Diplom und Bachelor der Fachhochschulen und pädagogischen Hochschulen nach Jahr, Fachbereich, Geschlecht und Hochschule","Eintritte auf Stufen Diplom und Bachelor der Fachhochschulen und pädagogischen Hochschulen nach Jahr, Fachbereich, Geschlecht und Hochschule","2022-03-25T08:30:16","Jahr,Fachbereich,Geschlecht,Hochschule"
"px-x-1502040200_175","px-x-1502040200_175.px","Studierende an den Fachhochschulen (ohne PH) nach Jahr, Wohnkanton vor Studienbeginn und Hochschule, nur Studierende auf Stufen Diplom, Bachelor und Master (ohne Weiterbildung)","Studierende an den Fachhochschulen (ohne PH) nach Jahr, Wohnkanton vor Studienbeginn und Hochschule","2022-03-25T08:30:18","Jahr,Wohnkanton vor Studienbeginn,Hochschule"
"px-x-1502040400_141","px-x-1502040400_141.px","Studierende an den Fachhochschulen und pädagogischen Hochschulen nach Jahr, Fachbereich und Altersklasse","Studierende an den Fachhochschulen und pädagogischen Hochschulen nach Jahr, Fachbereich und Altersklasse","2022-03-25T08:30:18","Jahr,Fachbereich,Altersklasse"
"px-x-1502040200_168","px-x-1502040200_168.px","Studierende an den Fachhochschulen (ohne PH) nach Jahr, Fachrichtung, Staatsangehörigkeit (Kategorie) und Hochschule, nur Studierende auf Stufen Diplom, Bachelor und Master (ohne Weiterbildung)","Studierende an den Fachhochschulen (ohne PH) nach Jahr, Fachrichtung, Staatsangehörigkeit (Kategorie) und Hochschule","2022-03-25T08:30:20","Jahr,Fachrichtung,Staatsangehörigkeit (Kategorie),Hochschule"
"px-x-1502040300_192","px-x-1502040300_192.px","Studierende an den pädagogischen Hochschulen (ohne FH) nach Jahr, Fachrichtung, Staatsangehörigkeit (Kategorie) und Hochschule","Studierende an den pädagogischen Hochschulen (ohne FH) nach Jahr, Fachrichtung, Staatsangehörigkeit (Kategorie) und Hochschule","2022-03-25T08:30:20","Jahr,Fachrichtung,Staatsangehörigkeit (Kategorie),Hochschule"
"px-x-1502040400_137","px-x-1502040400_137.px","Studierende an den Fachhochschulen und pädagogischen Hochschulen nach Jahr, Fachbereich, Studienstufe, Staatsangehörigkeit (Kategorie) und Hochschule","Studierende an den Fachhochschulen und pädagogischen Hochschulen nach Jahr, Fachbereich, Studienstufe, Staatsangehörigkeit (Kategorie) und Hochschule","2022-03-25T08:30:22","Jahr,Fachbereich,Studienstufe,Staatsangehörigkeit (Kategorie),Hochschule"
"px-x-1502040200_186","px-x-1502040200_186.px","Eintritte auf Stufen Diplom und Bachelor der Fachhochschulen (ohne PH) nach Jahr, Zulassungsausweis und Fachbereich","Eintritte auf Stufen Diplom und Bachelor der Fachhochschulen (ohne PH) nach Jahr, Zulassungsausweis und Fachbereich","2022-03-25T08:30:26","Jahr,Zulassungsausweis,Fachbereich"
"px-x-1502040100_132","px-x-1502040100_132.px","Studierende an den universitären Hochschulen nach Jahr, ISCED Fach, Staatsangehörigkeit (Kategorie) und Studienstufe","Studierende an den universitären Hochschulen nach Jahr, ISCED Fach, Staatsangehörigkeit (Kategorie) und Studienstufe","2022-03-25T08:30:30","Jahr,ISCED Fach,Staatsangehörigkeit (Kategorie),Studienstufe"
"px-x-1502040300_201","px-x-1502040300_201.px","Eintritte der pädagogischen Hochschulen (ohne FH) nach Jahr, Fachrichtung, Studienstufe, Geschlecht und Hochschule","Eintritte der pädagogischen Hochschulen (ohne FH) nach Jahr, Fachrichtung, Studienstufe, Geschlecht und Hochschule","2022-03-25T08:30:30","Jahr,Fachrichtung,Studienstufe,Geschlecht,Hochschule"
"px-x-1502040300_203","px-x-1502040300_203.px","Eintritte der pädagogischen Hochschulen (ohne FH) nach Jahr, Fachrichtung, Studienstufe und Altersklasse","Eintritte der pädagogischen Hochschulen (ohne FH) nach Jahr, Fachrichtung, Studienstufe und Altersklasse","2022-03-25T08:30:32","Jahr,Fachrichtung,Studienstufe,Altersklasse"
"px-x-1502040400_153","px-x-1502040400_153.px","Eintritte auf Stufen Diplom und Bachelor der Fachhochschulen und pädagogischen Hochschulen nach Jahr, Fachrichtung, Geschlecht und Hochschule","Eintritte auf Stufen Diplom und Bachelor der Fachhochschulen und pädagogischen Hochschulen nach Jahr, Fachrichtung, Geschlecht und Hochschule nach Jahr, Fachrichtung, Geschlecht und Hochschule","2022-03-25T08:30:32","Jahr,Fachrichtung,Geschlecht,Hochschule"
"px-x-1502040400_135","px-x-1502040400_135.px","Studierende an den Fachhochschulen und pädagogischen Hochschulen nach Jahr, Fachrichtung, Studienstufe und Hochschule","Studierende an den Fachhochschulen und pädagogischen Hochschulen nach Jahr, Fachrichtung, Studienstufe und Hochschule","2022-03-25T08:30:52","Jahr,Fachrichtung,Studienstufe,Hochschule"
"px-x-1502040100_105","px-x-1502040100_105.px","Studierende an den universitären Hochschulen nach Jahr, Fachrichtung, Studienstufe und Hochschule","Studierende an den universitären Hochschulen nach Jahr, Fachrichtung, Studienstufe und Hochschule","2022-03-25T08:30:32","Jahr,Fachrichtung,Studienstufe,Hochschule"
"px-x-1502040100_124","px-x-1502040100_124.px","Eintritte auf Stufen Lizenziat/Diplom und Bachelor der universitären Hochschulen nach Jahr, Fachrichtung, Staatsangehörigkeit (Kategorie) und Hochschule","Eintritte auf Stufen Lizenziat/Diplom und Bachelor der universitären Hochschulen nach Jahr, Fachrichtung, Staatsangehörigkeit (Kategorie) und Hochschule","2022-03-25T08:30:36","Jahr,Fachrichtung,Staatsangehörigkeit (Kategorie),Hochschule"
"px-x-1502040200_184","px-x-1502040200_184.px","Eintritte auf Stufen Diplom und Bachelor der Fachhochschulen (ohne PH) nach Jahr, Fachrichtung, Staatsangehörigkeit (Kategorie) und Hochschule","Eintritte auf Stufen Diplom und Bachelor der Fachhochschulen (ohne PH) nach Jahr, Fachrichtung, Staatsangehörigkeit (Kategorie) und Hochschule","2022-03-25T08:30:40","Jahr,Fachrichtung,Staatsangehörigkeit (Kategorie),Hochschule"
"px-x-1502040400_136","px-x-1502040400_136.px","Studierende an den Fachhochschulen und pädagogischen Hochschulen nach Jahr, Fachbereich, Studienstufe, Geschlecht und Hochschule","Studierende an den Fachhochschulen und pädagogischen Hochschulen nach Jahr, Fachbereich, Studienstufe, Geschlecht und Hochschule","2022-03-25T08:30:44","Jahr,Fachbereich,Studienstufe,Geschlecht,Hochschule"
"px-x-1502040300_191","px-x-1502040300_191.px","Studierende an den pädagogischen Hochschulen (ohne FH) nach Jahr, Fachrichtung, Geschlecht und Hochschule","Studierende an den pädagogischen Hochschulen (ohne FH) nach Jahr, Fachrichtung, Geschlecht und Hochschule","2022-03-25T08:30:48","Jahr,Fachrichtung,Geschlecht,Hochschule"
"px-x-1502040200_185","px-x-1502040200_185.px","Eintritte auf Stufen Diplom und Bachelor der Fachhochschulen (ohne PH) nach Jahr, Fachbereich und Altersklasse","Eintritte auf Stufen Diplom und Bachelor der Fachhochschulen (ohne PH) nach Jahr, Fachbereich und Altersklasse","2022-03-25T08:30:50","Jahr,Fachbereich,Altersklasse"
"px-x-1502040200_176","px-x-1502040200_176.px","Studierende an den Fachhochschulen (ohne PH) nach Jahr, Fachbereich und Altersklasse","Studierende an den Fachhochschulen (ohne PH) nach Jahr, Fachbereich und Altersklasse","2022-03-25T08:30:54","Jahr,Fachbereich,Altersklasse"
"px-x-1502040200_170","px-x-1502040200_170.px","Studierende an den Fachhochschulen (ohne PH) nach Jahr, Fachbereich, Studienstufe, Geschlecht und Hochschule","Studierende an den Fachhochschulen (ohne PH) nach Jahr, Fachbereich, Studienstufe, Geschlecht und Hochschule","2022-03-25T08:30:34","Jahr,Fachbereich,Studienstufe,Geschlecht,Hochschule"
"px-x-1502040100_104","px-x-1502040100_104.px","Studierende an den universitären Hochschulen nach Jahr, Fachrichtung, Staatsangehörigkeit (Kategorie) und Hochschule","Studierende an den universitären Hochschulen nach Jahr, Fachrichtung, Staatsangehörigkeit (Kategorie) und Hochschule","2022-03-25T08:30:34","Jahr,Fachrichtung,Staatsangehörigkeit (Kategorie),Hochschule"
"px-x-1502040400_138","px-x-1502040400_138.px","Studierende an den Fachhochschulen und pädagogischen Hochschulen nach Jahr, Fachbereich, Bildungsherkunft und Hochschule, nur Studierende auf Stufen Diplom, Bachelor und Master (ohne Weiterbildung)","Studierende an den Fachhochschulen und pädagogischen Hochschulen nach Jahr, Fachbereich, Bildungsherkunft und Hochschule","2022-03-25T08:30:38","Jahr,Fachbereich,Bildungsherkunft,Hochschule"
"px-x-1502040200_173","px-x-1502040200_173.px","Studierende an den Fachhochschulen (ohne PH) nach Jahr, Fachbereich, Bildungsherkunft und Hochschule, nur Studierende auf Stufen Diplom, Bachelor und Master (ohne Weiterbildung)","Studierende an den Fachhochschulen (ohne PH) nach Jahr, Fachbereich, Bildungsherkunft und Hochschule","2022-03-25T08:30:38","Jahr,Fachbereich,Bildungsherkunft,Hochschule"
"px-x-1502040400_155","px-x-1502040400_155.px","Eintritte auf Stufen Diplom und Bachelor der Fachhochschulen und pädagogischen Hochschulen nach Jahr, Fachbereich und Altersklasse","Eintritte auf Stufen Diplom und Bachelor der Fachhochschulen und pädagogischen Hochschulen nach Jahr, Fachbereich und Altersklasse","2022-03-25T08:30:38","Jahr,Fachbereich,Altersklasse"
"px-x-1502040100_131","px-x-1502040100_131.px","Studierende an den universitären Hochschulen nach Jahr, ISCED Fach, Geschlecht und Studienstufe","Studierende an den universitären Hochschulen nach Jahr, ISCED Fach, Geschlecht und Studienstufe","2022-03-25T08:30:38","Jahr,ISCED Fach,Geschlecht,Studienstufe"
"px-x-1502040100_122","px-x-1502040100_122.px","Eintritte auf Stufen Lizenziat/Diplom und Bachelor der universitären Hochschulen nach Jahr, Fachbereich, Staatsangehörigkeit (Kategorie) und Hochschule","Eintritte auf Stufen Lizenziat/Diplom und Bachelor der universitären Hochschulen nach Jahr, Fachbereich, Staatsangehörigkeit (Kategorie) und Hochschule","2022-03-25T08:30:42","Jahr,Fachbereich,Staatsangehörigkeit (Kategorie),Hochschule"
